GO.ID	UNIgene	V3
1	GO:0000272	Nk52_evm10s312	polysaccharide catabolic process
2	GO:0000272	Nk52_evm12s1073	polysaccharide catabolic process
3	GO:0000272	Nk52_evm18s208	polysaccharide catabolic process
4	GO:0000272	Nk52_evm21s230	polysaccharide catabolic process
5	GO:0000272	Nk52_evm21s273	polysaccharide catabolic process
6	GO:0000272	Nk52_evm24s24	polysaccharide catabolic process
7	GO:0000272	Nk52_evm25s210	polysaccharide catabolic process
8	GO:0000272	Nk52_evm26s228	polysaccharide catabolic process
9	GO:0000272	Nk52_evm29s2462	polysaccharide catabolic process
10	GO:0000272	Nk52_evm2s2391	polysaccharide catabolic process
11	GO:0000272	Nk52_evm33s2356	polysaccharide catabolic process
12	GO:0000272	Nk52_evm34s1671	polysaccharide catabolic process
13	GO:0000272	Nk52_evm39s255	polysaccharide catabolic process
14	GO:0000272	Nk52_evm47s2579	polysaccharide catabolic process
15	GO:0000272	Nk52_evm4s152	polysaccharide catabolic process
16	GO:0000272	Nk52_evm59s745	polysaccharide catabolic process
17	GO:0000272	Nk52_evm60s1020	polysaccharide catabolic process
18	GO:0000272	Nk52_evm72s210	polysaccharide catabolic process
19	GO:0000272	Nk52_evm74s210	polysaccharide catabolic process
20	GO:0000272	Nk52_evm7s168	polysaccharide catabolic process
21	GO:0000272	Nk52_evm7s2039	polysaccharide catabolic process
22	GO:0000272	Nk52_evm84s217	polysaccharide catabolic process
23	GO:0000272	Nk52_evm9s462	polysaccharide catabolic process
24	GO:0042135	Nk52_evm12s317	neurotransmitter catabolic process
25	GO:0042135	Nk52_evm1s1691	neurotransmitter catabolic process
26	GO:0042135	Nk52_evm1s1866	neurotransmitter catabolic process
27	GO:0042135	Nk52_evm1s205	neurotransmitter catabolic process
28	GO:0042135	Nk52_evm1s2132	neurotransmitter catabolic process
29	GO:0042135	Nk52_evm1s2184	neurotransmitter catabolic process
30	GO:0042135	Nk52_evm1s2196	neurotransmitter catabolic process
31	GO:0042135	Nk52_evm1s2259	neurotransmitter catabolic process
32	GO:0042135	Nk52_evm1s795	neurotransmitter catabolic process
33	GO:0042135	Nk52_evm67s153	neurotransmitter catabolic process
34	GO:0048193	Nk52_evm10s214	Golgi vesicle transport
35	GO:0048193	Nk52_evm12s24	Golgi vesicle transport
36	GO:0048193	Nk52_evm12s2462	Golgi vesicle transport
37	GO:0048193	Nk52_evm12s376	Golgi vesicle transport
38	GO:0048193	Nk52_evm13s2039	Golgi vesicle transport
39	GO:0048193	Nk52_evm13s232	Golgi vesicle transport
40	GO:0048193	Nk52_evm13s260	Golgi vesicle transport
41	GO:0048193	Nk52_evm14s2612	Golgi vesicle transport
42	GO:0048193	Nk52_evm15s2473	Golgi vesicle transport
43	GO:0048193	Nk52_evm16s240	Golgi vesicle transport
44	GO:0048193	Nk52_evm16s304	Golgi vesicle transport
45	GO:0048193	Nk52_evm17s151	Golgi vesicle transport
46	GO:0048193	Nk52_evm18s2531	Golgi vesicle transport
47	GO:0048193	Nk52_evm1s1141	Golgi vesicle transport
48	GO:0048193	Nk52_evm1s1260	Golgi vesicle transport
49	GO:0048193	Nk52_evm1s1448	Golgi vesicle transport
50	GO:0048193	Nk52_evm1s2226	Golgi vesicle transport
51	GO:0048193	Nk52_evm20s1967	Golgi vesicle transport
52	GO:0048193	Nk52_evm21s359	Golgi vesicle transport
53	GO:0048193	Nk52_evm23s136	Golgi vesicle transport
